question,answer,tags
Why can't you blend BM25 and cosine scores? Name two normalisations and how each breaks.,BM25 is unbounded and its scale depends on corpus statistics that change on re-index; cosine is bounded. Min-max redefines the scale per query (the top hit is always 1.0); a fixed offline divisor is silently wrong after any re-index.,fde day14
"Write the RRF formula. What does it discard, what does it gain, and what does `k` control?","`RRF(d) = Σᵢ 1/(k + rankᵢ(d))`. It discards margin — how much better the top hit was — and gains scale-freedom, so nothing needs normalising when the corpus changes. `k` sets how much more a top rank is worth than a lower one: at `k=1` rank 1 is 5.5× rank 10, so one confident retriever dictates the order; at `k=60` it's 1.15×, so appearing in both lists dominates.",fde day14
"Bi-encoder vs cross-encoder, in one sentence about where the query and document meet.","Bi-encoder: encoded separately, never meet inside the model — only the vectors are compared. Cross-encoder: concatenated and run through together, full attention across both.",fde day14
"Why can't cross-encoder scores be precomputed, and what architecture does that force?","The score is a function of the pair, so the document has no query-independent representation to store. That forces two stages: cheap wide retrieval, then expensive narrow reranking — and it's why reranking 5 candidates wastes the latency, since the value is the width of the first-stage net.",fde day14
"What is contextual retrieval, when does it run, and why does it help the lexical leg too?","A model-written one-or-two-sentence prefix situating each chunk in its parent document, generated at index time only. It injects real domain terms into the chunk text, so BM25 matches on them as well as the embedding moving.",fde day14
Describe the near-duplicate failure. Why don't your retrieval metrics catch it?,"Two revisions with different numbers both rank at the top; the model picks one arbitrarily, blends them, or reports both without flagging the conflict. Recall and nDCG are membership and ordering metrics — the gold chunk *was* retrieved, so they read as perfect.",fde day14
"Name the three fixes, and one specific way the easiest of them fails in practice.","Metadata filter on effective date/status; index-time dedupe keeping the newest; surfacing the conflict. The metadata filter fails when file modification time proxies for policy effective date — someone opens an old revision to fix a typo and it becomes the ""newest.""",fde day14
"What breaks if your tokeniser splits `SHP-202608-0041729`, and why won't the aggregate tell you?","`shp`, `202608` and `0041729` are far more common than the intact ID, so IDF collapses and BM25 loses its advantage on exactly the identifier queries you added it for. The aggregate barely moves because ID queries are a small slice — you only see it if you segment by query type.",fde day14
"Name the four ways an LLM endpoint differs from a normal API, and one design consequence of each.","Slow → streaming, and a request timeout inside the gateway's. Expensive per request → caching and per-tenant cost attribution as day-one features. Non-deterministic → idempotency must be a deliberate response cache. Novel failures → an error taxonomy with categories for content filters, context overflow and empty retrieval.",fde day15
"Why don't idempotency keys dedupe naturally here, and what must the key map to instead?","A retry produces a different answer, so there's nothing to deduplicate. The key must map to a *stored response*, which makes it the exact cache.",fde day15
"Name two LLM failure modes that arrive as HTTP 200, and why that matters for monitoring.","Any two: content-filter refusal, fabricated answer over empty retrieval, silently truncated context, unparseable structured output. They're invisible to error-rate monitoring, so the most reputationally damaging failures page nobody.",fde day15
"What is SSE, why is it usually right in an enterprise network, and why does it need a heartbeat?","A one-way stream over an ordinary HTTP response, part of the HTML standard, with `EventSource` in browsers. Right in enterprises because proxies and WAFs treat it as a slow HTTP response rather than something to block. It needs a heartbeat because proxies enforce idle timeouts on the gap between bytes, and an agent step can be silent for tens of seconds.",fde day15
Name two situations that genuinely require WebSocket instead.,Any two: the user must interrupt mid-generation over the same connection; real-time bidirectional media such as voice; the client returns tool results mid-turn; multiplexing many turns over one connection.,fde day15
"Describe the client-disconnect money leak, and three reasons it's hard to notice.","The client closes the socket but nothing cancels the upstream call, so you generate and pay for the entire completion into a dead connection. Hard to notice because it never errors, doesn't distort latency metrics, and is continuous and proportional to traffic rather than spiky. It also holds a concurrency slot for the remainder.",fde day15
What makes a synchronous LLM client inside an async handler worse than merely slow?,"It blocks the event loop, so there's no await point at which cancellation can be delivered — the request is *uncancellable*, not merely slow.",fde day15
"State the timeout nesting order, and explain what the retry budget does to it.","per-LLM-call < per-agent-step < per-request < gateway. The retry budget must be counted inside the call's contribution to the step: three retries of an 8s call is 27s, which blows every outer layer, and then the outermost timeout fires first and hides which layer was actually slow. Deadline propagation is the stronger form — each layer takes `min(its limit, time remaining)`.",fde day15
"What must be in an exact cache key besides the question, and what happens if the corpus version is missing?","Model ID, prompt version, retrieval config, and **corpus version**. Without it a re-index invalidates nothing: you serve pre-update answers with citations to text that changed, for as long as the TTL allows, with no error anywhere.",fde day15
"How do you calibrate a semantic cache threshold, why can't you copy one, and give an example where a false hit is worse than a miss.","Sample ~100 real query pairs above a floor similarity, hand-check whether one answer serves both, compute the false-hit rate per band, pick where it crosses your tolerance, and record the evidence. You can't copy one because it's a property of your embedding model on your corpus and of how much wrongness the domain tolerates. Example: ""detention rate for a reefer"" served from the dry van entry at 0.94 — the corpus has no reefer rate, so the correct behaviour was a refusal, and the false hit manufactures a fact.",fde day15
"Why does provider prompt caching dictate prompt component *order*? Name two things that silently break the prefix, and say why all three cache layers stack rather than overlap.","The provider caches a *prefix*, and the hit ends at the first differing byte, so stable content goes first and variable content last. Two silent breakers: a timestamp or request ID in the system prompt, and non-deterministic JSON/dict serialisation order. The layers stack because exact and semantic caches eliminate whole requests while prompt caching reduces input cost on the requests that still happen — different populations.",fde day15
"State the guardrail escalation ladder. Why are output guards on a streaming endpoint detective rather than preventive, and why is production precision far below red-team precision?","Regex/heuristic → small classifier → LLM judge → human review; resolve most traffic with the cheap filter and pay for the expensive one only on what survives. Output guards are detective because by the time you have a complete answer to check, the user has read it — preventing it means buffering, which means giving up streaming. And production precision collapses on base rate: a balanced red-team set doesn't transfer to a population where 1 request in 1,000 is an attack.",fde day15
Why is a trace more load-bearing for an LLM system than for a normal CRUD service? Name the property that causes it.,"The state that determined the answer — the assembled prompt, the retrieved chunks, the model version — is constructed at request time and discarded. Nothing else persists it, so the span is the only record of the function's input.",fde day16
A trace shows all spans at 200 with unremarkable latency and the answer was wrong. Name four distinct root causes and the span attribute that distinguishes each.,"Retrieval miss (`chunk_ids` + `scores`); context ordering / lost-in-the-middle (the full prompt); temperature or model version change (`temperature`, `model_version`); a config change such as chunk size (`retriever_config_hash`).",fde day16
Why capture the full prompt rather than a hash?,"A hash tells you whether two requests were identical and nothing about what was wrong with either. The debugging question is always ""what was in the context"", which requires the text.",fde day16
State the sampling policy and explain why it's tail sampling rather than head sampling.,"100% for errors and low-rated responses, 10% otherwise. It's tail sampling because the keep/drop decision is made after the outcome is known; head sampling would keep a uniform slice of a population that is 96% uninteresting.",fde day16
"Name the four version axes, and which two change without a code deploy.","`prompt_version`, `retriever_config_hash`, `corpus_version`, `model_version`. The last two: corpus changes on the ingestion schedule, model changes when the provider rolls it.",fde day16
Why must a config hash be resolvable back to a config object?,"Otherwise it only tells you that Tuesday differs from Monday, not how. Keep an append-only `hash → config JSON → first_seen → last_seen` table.",fde day16
Why does per-node latency beat total latency? Give both the detection argument and the attribution argument.,"Detection: generation dominates the total, so a 100% regression in a small node is a ~2% change in the aggregate and no sane threshold fires. Attribution: in an incident, ""there's a problem"" versus ""it's the reranker"" is tens of minutes.",fde day16
"Is p95(total) bigger or smaller than Σ p95(node), and what does the other direction indicate?","Smaller — a request only reaches the total p95 if it was slow overall, not if each node independently had a bad day. The sum coming out *below* the measured total indicates correlated slowness: shared saturation or a noisy neighbour.",fde day16
Why is the retrieval score distribution a *leading* indicator when citation verification is not?,"Retrieval happens before generation, and its inputs (corpus, embedding model, chunker) change without a deploy. Citation verification, refusal rate and feedback all measure answers that have already been served.",fde day16
"Mean top-1 is flat but the below-0.55 rate has doubled. What class of change does that shape point at, and what do you segment by?","A change confined to a subset — one document re-chunked, one tenant's documents indexed through the wrong pipeline, or a new query type in the mix. Segment by tenant, route and corpus_version.",fde day16
Name the five triage classes and say which one's fix is not a retrieval or prompt change.,"Retrieval miss, generation error, correct-but-unhelpful, bad question, guard false positive. Correct-but-unhelpful is usually an answer-shape or product decision, not a retrieval or faithfulness fix.",fde day16
Why can't thumbs-down be the only input to the feedback loop? Give two reasons.,It's sparse (low single-digit percentage of queries) and it's biased — confident users clicking on obviously-wrong answers. The confidently-wrong answer a junior user believes generates no feedback at all. Automatic triggers produce roughly 15× the volume.,fde day16
Name the four topologies and the constraint each hits.,"Managed PaaS — no VPC peering, vendor secret store. Container in their cloud — IAM, VPC endpoints, image scanning. Kubernetes — you're a tenant of another team's platform and its release train. Air-gapped — no hosted model at all.",fde day17
"State the three egress questions, and say which one forces self-hosted weights.","(a) Can data traverse the public internet? (b) Can it leave the client's account/tenancy even privately? (c) Can it leave the jurisdiction? **(b)** forces self-hosted weights — a VPC endpoint fixes the network path, not where inference executes.",fde day17
"Name five things that change when a client answers ""no"" to the account/tenancy question.",Smaller model; more scaffolding to compensate; fixed rather than variable cost; capacity planning becomes yours and is memory-bound; availability becomes yours (two GPUs minimum); model updates only happen when you do them; the eval suite must be re-run to quantify the capability loss. Any five.,fde day17
"What bounds concurrency on a self-hosted model at long context, and what's the per-token figure for an 8B GQA model in fp16?","KV cache memory. 2 × layers × KV heads × head_dim × 2 bytes = 2 × 32 × 8 × 128 × 2 = **128 KiB per token**, so ~1 GiB per in-flight 8k-token request.",fde day17
Why does quantisation increase concurrency?,"It shrinks the weights, freeing GPU memory that becomes KV cache budget. More KV budget, more in-flight requests. It's a memory effect, not a speed effect.",fde day17
"Why is a 4 GB image usually not a Python problem, and what's the first fix?",The default PyPI torch wheel bundles the CUDA runtime libraries. Install the CPU-only torch wheel first; that usually recovers 2.5 GB.,fde day17
"Give two conditions under which you *should* split the reranker into its own service, and one that isn't a reason.","Split when the reranker needs a GPU, or when its scaling profile genuinely diverges from the API's (and cold-start cost on every API replica is hurting rollouts). Not a reason: the image is big.",fde day17
Why is a prompt-level tenant instruction not an access control? Give the structural reason.,A prompt is a request to a statistical system whose instruction-following can be overridden by other text in the same context — including retrieved text from untrusted sources. You'd be asking the component that just read the untrusted input to enforce a boundary on it.,fde day17
Describe the full tenant-filtering chain from request to result.,"Authenticated request → signature-verified token → tenant_id from a verified claim → passed as a filter into the retriever query → post-retrieval assertion that every chunk matches → mismatch drops the result, logs a security event and alerts.",fde day17
"What does post-filtered ANN do to a small tenant's recall, and what's the symptom the client reports?","It collapses recall: with 0.4% of the index and ef_search=128 the expected hit count is ~0.5, so they get zero or one chunk instead of five. The symptom is a *quality* complaint — vague or refused answers — not a security one, so people debug the embeddings.",fde day17
Name three deployment failures that a 200 on `/v1/ask` does not catch but a verified-citation smoke test does.,An empty or unmounted index; an index built from the wrong corpus; a mispointed embedding model; a prompt rollback that stopped emitting citations. Any three.,fde day17
"Which handover artifact most determines whether you're referred to the next team, and why?","`RUNBOOK.md`. The person who decides whether you're called back is usually the engineer paged at 2am four months after you left, and their opinion of you is formed entirely by whether the runbook told them what to check.",fde day17
"In a RAG system, does input or output dominate the bill, given output costs 3–5× per token? And why does an agent's cost grow faster than its step count?","Input — about 78%. RAG re-sends several thousand tokens of retrieved context per request against a few hundred output tokens, and the volume ratio beats the price ratio. The agent multiplies it because each step re-sends the accumulated context from all prior steps.",fde day18
"Why does prompt-cache alignment work, what single change destroys it, and why can a broken cache be *worse* than no cache at all?","Provider caches are **prefix** caches: they match the longest identical leading span, so put everything stable first and everything variable after. A single varying token near the top — a timestamp, a session id — moves the first difference to position 15 and nothing after it caches. Worse than no cache because writes carry a ~25% premium and reads a ~90% discount: at a 0% hit rate you pay the premium every time and collect the discount never (§3 Q2: 12.5% above baseline).",fde day18
"Name two failure modes of model routing, and the mechanism that bounds the worst case.","Silent quality loss (a misroute produces a fluent worse answer, not an error) and the router's own cost and latency. Bounded by escalation: below a confidence threshold, use the large model. And you must report faithfulness per route, because aggregates hide it.",fde day18
"What condition makes semantic caching worth nothing, and how do you check for it in advance?","A flat query distribution — nobody asks the same thing twice, so the hit rate is a few percent. Check by embedding a sample of real queries and measuring the fraction with a near-duplicate above your threshold, before building anything.",fde day18
"State the three steps of a properly-done self-hosting break-even, and which step is usually skipped.","(1) Fixed GPU cost ÷ cost per query. (2) Multiply by 4–6× for realistic duty cycle. (3) Add the ops burden as a fraction of a person. **Step 3 is the one that's always skipped**, and it usually dominates the GPU line.",fde day18
"Which direction does optimising your hosted cost move the self-hosting break-even, and why?",Further away — you lowered the price of the alternative. Optimising from $0.00309 to $0.00108 moved break-even from ~6–9M to ~18–27M queries/month.,fde day18
"At pilot scale, what fraction of cost is typically fixed, and what should the client optimise instead?","About 89%. Optimise latency and quality (which determine adoption, which determines whether there is a scale phase at all), build the cost model with sensitivity, and do the free cache alignment anyway.",fde day18
Name the five attack classes and say which one is structurally different from the rest.,"Direct injection, indirect injection, tool abuse, data exfiltration, denial of wallet. Indirect is structurally different: it arrives inside a retrieved document, lands asynchronously at index time, and there is no request to block at the moment of attack.",fde day18
"Why is indirect injection the same trust boundary as running untrusted code, and what's the one difference from SQL injection?",Because attacker-controlled text reaches an interpreter with no type system separating code from data. The difference: SQL got prepared statements — a channel the database structurally cannot interpret as instruction. **No such primitive exists for prompts.** Delimiters are requests honoured probabilistically.,fde day18
"Where does tool authorisation live, and what must it never be derived from?","In your code, checked against the user's verified identity claim. Never derived from anything the model read — otherwise a PDF can grant permissions.",fde day18
"Which two defence layers have proofs, and what does that imply about where you spend effort?","Tool authorisation (layer 4) and budget caps (layer 6): deterministic checks with testable specifications. Spend remaining effort there; use the probabilistic layers because they're free, but never present them as controls.",fde day18
Why does every honest red-team report name residual risk? Give two of the three reasons.,"Any two: the attack surface is a natural language and therefore unbounded, so no completeness argument exists; the strongest prompt-level layers are probabilistic by construction; and a 100%-mitigation claim is falsified by the first creative user, which discredits the parts of the report that were correct.",fde day18
"Give the one-sentence definition of an FDE, and say what each clause rules out.","*Builds in the client's environment, with their data, against their constraints, and leaves something their team can run.* Their environment rules out the laptop demo; their data rules out the sanitised extract; their constraints rules out the architecture that needs egress they won't approve; their team can run it rules out you.",fde day19
How does an FDE differ from a solutions engineer in what they leave behind?,"An SE leaves a demo and a reference architecture, optimised for winning the evaluation. An FDE leaves working code in production plus evals, a runbook, and a trained engineer.",fde day19
"Name the four modes, and the failure of overdoing each.",Discovery → analysis paralysis. Prototyping → unproductionisable demo-ware and mis-set expectations. Hardening → gold-plating something unvalidated. Enablement → becoming the bottleneck you were hired to remove.,fde day19
Why is applause at a prototype demo a worthless signal? Give the mechanical reason.,"The demo is one path, on inputs you chose, with a narrative you wrote. The audience cannot sample the input distribution from a single favourable draw, so the applause measures the demo, not the system.",fde day19
"State the incident-versus-abstraction rule, and why it's true.",Abstractions contain someone's guess at a solution; incidents contain requirements. An abstraction has already had the specifics — and therefore the constraints — compressed out of it.,fde day19
"In area 2, what do you do if nobody performs the process manually today?","Ask why not. Usually it isn't valuable enough for anyone to have bothered, and you've saved six weeks. Occasionally it's genuinely impossible at volume, which is the best answer available.",fde day19
Volume and value gives you two things. Name both.,"The ROI numerator, and your cost budget.",fde day19
"Why must you ask for real data in meeting one, and what's the *specific* reason bad data is more dangerous here than in a conventional integration project?","Because the gap between described and actual data is the largest source of schedule overrun. It's more dangerous than in a conventional integration because there's no type error and no failed join — the system emits fluent, confident, correctly-formatted output from wrong data, so the failure is silent.",fde day19
"Name the four constraints to ask about, and what each one invalidates if found late.","Egress (invalidates model choice and topology); approvals (your start date, 6–8 weeks of parallelisable calendar); security review (deployment target and dependencies); system of record (your output shape).",fde day19
What do you say when nobody can answer the definition-of-done question?,"That it's an experiment rather than a project, and it should be scoped and funded as one. Said plainly, this increases trust.",fde day19
"Describe eval-first scoping in two sentences, and name two of the four things it does at once.","Instead of proposing to build X in N weeks, you propose to define — with real questions from their team — how a system would be scored, build the harness in week one, measure a baseline, and move the number weekly. Any two of: makes a vague ask measurable; forces real examples out early; produces a defensible done; makes progress legible to a non-technical sponsor.",fde day19
"What are the two fields on the scoping canvas that nobody else's has, and why do they matter?","Explicit out-of-scope, and kill criteria. The first prevents the silent expansion that eats fixed-fee work; the second converts a slow failure into an early, clean, paid stop.",fde day19
"Give the four-part structure of the ""no, that won't work"" conversation.","Name the problem → quantify it → offer two paths → let them choose. Never ""no"" alone, and never offer a path you'd refuse.",fde day19
Recite the 85% sentence and explain what each of its three moves accomplishes.,"*""It'll be right about 85% of the time on that class of question, and it will be confident when it's wrong — so the question is what the workflow does with the other 15%.""* It quantifies and scopes the claim to a distribution; it names the failure mode as silent and plausible rather than loud; and it moves the decision to workflow design, where the client has both the authority and the domain knowledge to choose.",fde day19
Why is hardcoding a fake output at 0:20 the highest-value step of the morning?,It forces the output format to be decided before three hours go into retrieval — an undecided output format is where scope creep hides. Also guarantees a demo exists.,fde day20
What does the NOT SHIPPING list protect against that a short SHIPPING list does not?,Re-litigation. An absent item is undecided and returns; a listed one must be visibly overturned.,fde day20
What test does the demo moment let you apply to any proposed feature?,"Does it appear in the 30 seconds, or make what appears more credible? If neither, cut.",fde day20
Name the four check classes and what each catches.,"Structural (missing sections, placeholders, untagged numbers); factual (wrong numbers, by independent recomputation and diff); quality (generic recommendations, tone); adversarial (same conclusion across different subjects).",fde day20
"Why must factual be 100% rather than ""high""?","A wrong number is worse than no document — it creates a carrier dispute, and any domain expert finds it in thirty seconds. No partial credit.",fde day20
Difference between three reviews with different numbers and three with different conclusions?,Different numbers proves the data path works. Different conclusions proves the system reasons. A template produces the first and never the second.,fde day20
Why can't the adversarial failure be detected with one test carrier?,No contrast. One plausible document cannot reveal that the narrative would have been identical for a different subject; the failure lives in the diff.,fde day20
"Good and bad carriers get the same narrative. Most likely cause, and the fix?","The prompt describes structure, not judgement. Add explicit thresholds (FTA < 85% for two consecutive quarters ⇒ Lane Review) and require a stated verdict before the narrative.",fde day20
"State the fix order after an eval failure, and why factual is first.",Factual → citations → generic recommendations → structure. Factual first because a wrong number destroys the whole document's credibility; the rest is cosmetic beside it.,fde day20
Why are generic recommendations an input problem rather than a prompt problem?,"Summary statistics cannot yield specific advice. Feed the worst specific events — dates, IDs, facility, amounts — not a total.",fde day20
"""Working"" vs. ""defensible""? Name three questions only the second answers.","Working = it produced a good output when run. Defensible = you can answer, from artifacts: where did this number come from, what happens when the model is wrong or down, what does it cost per run, what can it not do, what does stopping cost.",fde day21
"Why is per-route guardrail scoping a cost decision, not just an architecture one?","Guardrails bill per policy evaluated, so the full set on every route is a recurring monthly cost on paths carrying no risk. Routes differ — injection on indexed carrier docs, PII and tone on the external draft.",fde day21
What does the footer trace_id buy you that logs alone do not?,"Reproducibility of a *specific claim* for a third party. On a dispute you retrieve the exact run, query result and policy revision, rather than searching logs by timestamp.",fde day21
Why is a bannered partial document better than a clean failure on cost-cap breach?,"Silence makes the user wait, get nothing, retry and spend again. A banner says exactly what happened and leaves salvageable output.",fde day21
What is reserved concurrency actually controlling here?,Blast radius — bounding a runaway loop by a number you chose rather than the account limit.,fde day21
"State the teardown question, and why buyers want to ask it but often don't.","*""If we don't proceed after the pilot, what does it cost us to stop, and how long?""* They want to ask because the real fear is a half-successful pilot they cannot remove; they often don't, because asking sounds like they have decided against you.",fde day21
Why does naming a cheap exit make a pilot easier to start?,"It removes the downside of trying. The commitment shrinks from ""adopt this"" to ""run this for a quarter"" — easier to make and easier to defend internally.",fde day21
Why does the case study lead with the problem rather than the architecture?,The reader must recognise their own problem before spending attention on your solution. Architecture-first only works on a reader who already agreed the problem matters.,fde day21
"What separates a ""hard part"" from a ""challenge""?","A hard part is a property of the problem a competent engineer would also hit, with a non-obvious resolution. A challenge is you learning the tools — true of everyone, informative about nobody.",fde day21
Why is future work not a substitute for limitations?,"Future work is a promise and flatters you. Limitations are a disclosure against your interest, which is why they carry signal — and they answer what a human must still check.",fde day21
Why does topic-organised training produce students who cannot debug?,"Material is retrieved by whatever it was encoded alongside. Filed under a topic name, it is reachable from the topic and not from the symptom the student actually meets.",fde day22
"Where does topic organisation legitimately win, and how do you reconcile it with failure organisation?","Reference material and genuine prerequisite chains. Reconciliation: failures set module boundaries and sequence, topics fill the module, prerequisites are satisfied inside a module in service of its failure.",fde day22
"What is an audience in ""reception mode"" doing, and why does it feel like success from the front?","Recording information with no question attached, so facts arrive isolated and decay. It feels like success because nothing interrupts — the silence of a lost room and a satisfied room are identical.",fde day22
Name the eight beats in order.,Failure → question → frame → build → measure → generalise → practice → close.,fde day22
"Which beat do you cut when you run over, which do you never cut, and why that way round?","Cut GENERALISE, never PRACTICE. Practice is the only beat where the skill touches the student's hands; the generalisation alone leaves a memory of an interesting hour.",fde day22
"What is the mechanism behind predictive questioning, and why does a *wrong* prediction still help?","It forces the student to use and surface their current model, and creates a specific expectation the observation confirms or violates. A wrong prediction helps *more* — the surprise is the encoding event.",fde day22
Name the four things a deliberate error teaches at once.,"The concept (from the case where it misleads), what the failure looks like, the debugging process, and how to be wrong gracefully.",fde day22
Why must the frame be visible rather than remembered?,"Cognitive load: re-deriving it from memory consumes the working memory the frame was meant to free. Persistently on screen, not a slide shown once.",fde day22
"Why does ""any questions?"" reliably return silence, and what replaces it?","It requires publicly self-identifying as behind, formulating a coherent question about material you don't understand, and interrupting — three costs, no benefit. Replace with a concrete artifact request, which returns a distribution rather than a null.",fde day22
"What is the 2.5× rule, how do you get *your* number, and what do you do with it besides lengthening the plan?","Live typing takes ~2.5× your estimate; measure yours by comparing planned to actual per section on your own recordings. Besides lengthening the plan: **type less** — pre-write imports, config and boilerplate, live-type only the lines carrying the idea.",fde day22
Name the four assessment levels. Why is diagnosis the real test?,"Recall, application, diagnosis, transfer. Diagnosis matches the shape of the job — you are handed someone else's broken system — and it is where memorisation stops rescuing you.",fde day22
Four kinds of learning-log entry — what does each become?,Confusions → module boundaries; trap-list items → common-errors sections and exam items; click-moments → lesson hooks; unanswered questions → the FAQ.,fde day22
"Name the three things live delivery removes, and one preparation each drives.","No stopping (rehearse recovery, keep fallbacks); no retakes (verify everything verifiable before you start); a live audience that can be confused at you (manufacture the signal with checkpoints and use it).",fde day23
Why must a demo be verified in the *exact state you'll present from*?,"""It worked yesterday"" fails on a stale index, an expired key, a moved `.env`, or an already-run cell. A demo verified in a different terminal, venv or directory is unverified.",fde day23
"What's the real argument for fallback outputs, and what does it have in common with a rollback plan?","Arithmetic, not pessimism: any demo has a per-run failure probability, so across enough sessions one fails. Like a rollback plan, it converts an outage into an inconvenience — you don't have one because you expect to fail.",fde day23
Under what condition is a failed demo better than a working one — and what are the four narration moves?,"Conditional on narrating the diagnosis rather than panicking. Name the surprise, read the error aloud, state two hypotheses, run the cheapest discriminating check.",fde day23
"What is your silence budget for a live failure, and what happens when it expires?","Ninety seconds to two minutes, decided in advance. On expiry, take the fallback and move on explicitly — never fix it by silently editing around it.",fde day23
"Give the three-part ""I don't know"" and say what each part is for.","""I don't know."" (honest signal) ""Here's how I'd find out: [method]."" (the credibility move — a method is what the client is buying) ""I'll follow up by [when]."" (converts gap to commitment; only say it if you mean it.)",fde day23
"Why is bluffing always visible, and why is the trade economically bad?","Specifics disappear, hedges multiply, sentences lengthen and end weakly, prosody shifts — and the asker is usually the one person who knows the answer. An admitted gap costs ~nothing; a detected bluff retroactively devalues every earlier confident statement.",fde day23
What makes parking a question work rather than becoming a broken promise?,"Writing it down visibly, and returning to it by the asker's name. Otherwise it's broken about 80% of the time, which is worse than not parking.",fde day23
Name the five question types and the trap for each.,Hard technical (trap: padding); sceptical challenge (defensiveness); not covered (following it); false premise (answering as asked); disguised objection (treating it as technical).,fde day23
Why must a false premise be corrected before the answer?,"Answering as asked endorses the premise for the whole room, and everyone repeats it to their teams. Correct first, specifically, briefly.",fde day23
"Install disaster: three options, and the rule that matters more than which you pick.","One-by-one (lose the session), pre-built cloud environment (lose local realism), pair broken with working (halves it, builds the room). The rule that matters more: the fallback environment must be **built and tested beforehand**.",fde day23
Why is recruiting fast finishers as floaters better than giving them a stretch task?,Being asked to help is the most engaging thing that can happen to an advanced student. It converts your two most likely disengagers into instructors and teaches them more than the stretch task.,fde day23
"Three replacements for ""any questions?"", in escalating order.","Concrete artifact (""paste your recall@5""), pair-compare (""compare with your neighbour, two minutes""), binary show of hands (""above 0.7? below?""). Plus: wait ten seconds, not three.",fde day23
Why 1.0× and in full?,"Every defect worth finding is a timing property — pacing, dead air, filler rate, checkpoint gaps — and speed destroys timing. At 2× a lost room sounds fine.",fde day23
"State the asymmetry today closes, and why it is a completeness problem rather than a marketing one.",You finish with a substantial body of work and an audience of one. It is completeness because an artifact nobody can evaluate is unfinished in the same sense as a service nobody can operate — value is realised at the interface.,fde day24
What are the six demo-day beats and their times?,"Problem (1:00), what I built (0:45), live demo (3:00), how I know it works (1:30), the hard part (1:15), what's next and what it costs (0:30).",fde day24
What does the trace step in beat 3 prove that generated output does not?,Verifiability. Generated output is now unremarkable and mildly suspect; following a number back to the query that produced it is a claim a technical audience is actually trying to assess.,fde day24
"Why is the hard-part slide the one people remember, and what inference does the audience draw from a demo with no failure in it?","Anyone can demo a working system. Showing a real adversarial failure and its fix proves you tested adversarially unasked, found something real, understood it, and will show your system failing — from which they infer the other five slides are honest. A demo with no failure is assumed to be hiding some, and everything gets discounted.",fde day24
"Name the three portfolio surfaces, their readers, and each one's job.",Repo → an engineer skimming → evidence of process. Case study → a hiring manager reading properly → the argument that you can do this. Profile → a stranger in 20 seconds → framing the pivot as continuity.,fde day24
Why is the commit history the artifact for the repo?,"Anyone can produce a finished repo. A history showing a failing eval, a diagnosis, a fix, and the eval passing is evidence of a practice, which a snapshot cannot fake.",fde day24
"Which section of a case study is the credibility section, and why is it usually missing?","""What I tried that didn't work."" It is omitted because it feels like admitting weakness, and its absence is exactly what makes a case study read as marketing — real projects have failed approaches and the reader knows it.",fde day24
Give three reasons narrow data-backed writing travels further than broad writing.,"Findable (people search the specific words); checkable (a claim with numbers can be argued with, which is why it gets shared); evidence rather than assertion (the reader draws the conclusion, so they believe it). Fourth: scarcity — broad posts are interchangeable, yours needs a real corpus and real measurements.",fde day24
What makes a self-rating defensible?,"Evidence in the row. ""Evals: 4 — 250-case suite, κ = 0.61, CI gate above a measured noise floor"" is defensible in an interview; ""Evals: 4"" is a mood you can't reconstruct in six weeks.",fde day24
Why does a plan that closes every gap close none?,"Three concurrent tracks each get a third of the attention, none reaches a visible artifact, and at day 90 you have three half-finished things that prove nothing. Two at full attention produce two shipped, written-up projects; the third stays open and *named*, which is defensible.",fde day24
Name the five sustaining habits and what each replaces.,Weekly review (replaces the daily retro); reading loop (the curriculum); eval habit (the lab's definition of done); teaching habit (the daily teach-back); standing benchmark (the course's ground truth).,fde day24
Why is the standing benchmark corpus the highest-leverage thing to keep?,"It lets you evaluate any new model or technique in an hour against a corpus you know, a golden set you labelled, and a scorecard whose noise floor you measured. Weeks to build, nothing to keep, and almost nobody has one — so it makes you fast exactly where speed is visible.",fde day24
Rank the three tracks by strength of external deadline. What does the ranking predict?,"C strongest (other people reply on their schedule), A weak (self-imposed, but the artifact accumulates visibly), B none. It predicts that B is skipped first and permanently unless it is calendared with a specific artifact due.",fde day24
Why does the teaching track compound faster than the role-search track?,"Each delivery improves the next, produces a recording that deepens the portfolio, and generates contacts and credibility that feed the role search. One meetup talk is a portfolio artifact, a rehearsal, a network event and a differentiator at once. Track C is a numbers game with low per-attempt yield and no compounding.",fde day24
